Item ID,Item Name,Item Number
-1,reg_time,2019-07-14 21:31:05
item-10,Dummy Core,23679
item-31,Basic Training Data,1519
item-32,Intermediate Training Data,1147
item-33,Advanced Training Data,16818
-1,kalina_level,30
-1,kalina_favor,474277
item-1,T-Doll Contract,3849
item-2,Equipment Contract,657
item-3,Quick Production Contract,1621
item-4,Quick Repair Contract,9486
item-5,Daily Pause Permit,1
item-7,Oath Certificate,0
item-8,Quick Training Contract,71
item-9,Enhancement Capsule,1115
item-11,Key Card,0
item-12,Points,0
item-13,Name Change Card,9
item-14,Original Sample,2534
item-15,Pure Sample,539
item-16,Quick Analysis Contract,1365
item-17,Data Patch,422
item-41,Token,6872
item-42,Exchange Ticket,0
item-43,Black Card,6
item-44,Calibration Ticket,24680
item-45,Memory Fragment,5553
item-46,Special Combat Report,20005
item-47,Theater Material,3
item-50,Universal Parts,0
item-51,New Type Fire-Control Component,26
item-53,Gachapon Ticket,100
item-100,Elite Griffin Combat Medal,7
item-101,Combat Ranking Medal,126
item-103,Challenger Medal,28
item-104,Elite Adventurer Medal,6
item-105,Sangvis-Griffin Coalition Medal,5
item-106,Chess Champion Medal,667
item-109,8th Theater Pioneer Medal,1
item-110,8th Theater Conqueror Medal,2
item-304,Central Data: M2,0
item-306,Core Data: QLZ-04,0
item-307,Central Data: Mk 153,20
item-308,Core Data: PP93,24
item-506,Battery,51
item-507,Surplus EXP,960000
item-508,Friendship Points,3480
item-509,Fairy Command,75
item-510,Combat Sim Extra Energy,20
item-512,Supernova Kernel,1720
item-513,Dark Star Kernel,16300
item-514,Petri Dish,794
item-515,Basic Training Keycode,29177
item-516,Advanced Training Keycode,28660
item-517,Specified Equipment Contract,0
item-519,HOC General Data,223
item-520,Frag Grenade,76
item-521,Stun Grenade,69
item-522,Turret,19
item-524,Goliath Projectile,0
item-525,Quick Auto-Battle Contract,876
item-601,Infinite Surprise Dye,1
item-602,Colorful Specified Dye,0
item-603,Potential Energy,0
item-604,Electronic Impulse,0
item-605,Aid Commission,271
item-606,Transfer Catalyst,110
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1014,M1918 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1020,Suomi Icon,1
item-1021,IOP,1
item-1022,AEGIS,1
item-1023,Jupiter,1
item-1024,SOPMODII,1
item-1025,Korvatunturi Pixie,1
item-1030,The 1st Anniversary Celebration ID Card Background,1
item-1031,Bren Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1038,OTs-12 Icon,1
